ElectricPink,#FF00C8
ToxicLime,#C8FF00
SkySlushBlue,#00EFFF
ChromeLavender,#D2A1FF
DigitalGrape,#8000FF
RetinaBurnRed,#FF1F1F
BubblegumWhite,#FDFDFF
BlacklightVoid,#0A0033
GlitchYellow,#FFFB00
SoftCyanDream,#9EFFF7
NeonCoral,#FF6EFF
CyberMint,#99FFCC
Blushcore,#FF85A1
PlasticPeach,#FFD6F6
SlimeVibeGreen,#00FF99
OverdriveOrange,#FF7700
NuclearFrost,#CCFFFF
LaserLemon,#FFFF33
CandybloodRed,#FF3366
TamagotchiTeal,#00FFDD
CottonCandyFog,#FFCCFF
IcePopPurple,#CC99FF
SunshockYellow,#FFF700
SyntheticRose,#FF007F
HyperIce,#B6F7FF
PixelDust,#F5E3FF
8bitBlood,#D90037
NoiseTurquoise,#00FFE5
ChromaBlast,#FD00FF
AcidRain,#BFFF00
MemeSlime,#00FFB2
OverheatOrange,#FF5500
GhostGlow,#D0FFFF
BluetoothBlue,#3399FF
LavenderCircuit,#E3B9FF
SugarRushPink,#FFAACC
TwitchPurple,#9146FF
SourByte,#BFFFBA
PopPixelPink,#FF66B2
UltraCyan,#00FFFF
SyntheticStrawberry,#FF4D6D
ToxicCotton,#E6FFB8
PastelBattery,#F6FFD7
CorrosiveMango,#FFB84D
ElectroMagenta,#FF008C
RadioactiveTeal,#00FFD1
HardLightRose,#F08080
SkaterMint,#D2FFE3
ArcadeLava,#FF4500
CursedPlasma,#B300FF
BlindingFizz,#FFFFE0
SupernovaCitrus,#FFF200
HeatwavePink,#FF5FA2
PowerSurge,#FF00E6
ArtificialLemonade,#FCFF6C
UnicornNoise,#FCE1FF
